timestamp,uptime_s,rss_bytes,heap_committed,fd_count,query_count,query_max_us
1784995371,1221,15794176,15794176,19,1168,1712634
1784995381,1231,15794176,15794176,19,1176,1712634
1784995392,1241,15794176,15794176,19,1186,1712634
1784995402,1256,15794176,15794176,19,1200,1712634
1784995412,1266,15794176,15794176,19,1210,1712634
1784995423,1276,15794176,15794176,19,1220,1712634
1784995433,1286,15794176,15794176,19,1230,1712634
1784995443,1296,15794176,15794176,19,1240,1712634
1784995454,1306,15794176,15794176,19,1250,1712634
1784995464,1316,15794176,15794176,19,1260,1712634
1784995474,1326,15794176,15794176,19,1268,1712634
1784995486,1336,15794176,15794176,19,1278,1712634
1784995497,1346,15794176,15794176,19,1287,1712634
1784995507,1356,15794176,15794176,19,1297,1712634
1784995517,1371,15794176,15794176,19,1311,1712634
1784995528,1381,15794176,15794176,19,1321,1712634
1784995538,1391,15794176,15794176,19,1331,1712634
1784995548,1401,15794176,15794176,19,1341,1712634
1784995559,1411,15794176,15794176,19,1351,1712634
1784995569,1421,15794176,15794176,19,1361,1712634
1784995579,1431,15794176,15794176,19,1370,1712634
1784995590,1441,15794176,15794176,19,1379,1712634
1784995600,1451,15794176,15794176,19,1389,1712634
1784995612,1461,15794176,15794176,19,1398,1712634
1784995622,1476,15794176,15794176,19,1413,1712634
1784995633,1486,15794176,15794176,19,1422,1712634
1784995643,1496,15794176,15794176,19,1432,1712634
1784995653,1506,15794176,15794176,19,1442,1712634
1784995664,1516,15794176,15794176,19,1452,1712634
1784995674,1526,15794176,15794176,19,1462,1712634
1784995684,1536,15794176,15794176,19,1472,1712634
1784995695,1546,15794176,15794176,19,1480,1712634
1784995705,1556,15794176,15794176,19,1490,1712634
1784995715,1566,15794176,15794176,19,1500,1712634
1784995727,1581,15794176,15794176,19,1513,1742489
1784995738,1591,15794176,15794176,19,1523,1742489
1784995748,1601,15794176,15794176,19,1533,1742489
1784995758,1611,15794176,15794176,19,1543,1742489
1784995769,1621,15794176,15794176,19,1553,1742489
1784995779,1631,15794176,15794176,19,1563,1742489
1784995789,1641,15794176,15794176,19,1571,1742489
1784995800,1651,15794176,15794176,19,1581,1742489
1784995810,1661,15794176,15794176,19,1591,1742489
1784995820,1671,15794176,15794176,19,1601,1742489
1784995831,1681,15794176,15794176,19,1611,1742489
1784995841,1691,15794176,15794176,19,1621,1742489
1784995853,1706,15794176,15794176,19,1634,1742489
1784995864,1716,15794176,15794176,19,1644,1742489
1784995874,1726,15794176,15794176,19,1654,1742489
1784995884,1736,15794176,15794176,19,1664,1742489
1784995895,1746,15794176,15794176,19,1672,1742489
1784995905,1756,15794176,15794176,19,1682,1742489
1784995915,1766,15794176,15794176,19,1692,1742489
1784995926,1776,15794176,15794176,19,1702,1742489
1784995936,1786,15794176,15794176,19,1712,1742489
1784995947,1796,15794176,15794176,19,1720,1742489
1784995985,1836,15794176,15794176,19,1732,1742489
1784996047,1896,15794176,15794176,19,1732,1742489
