timestamp,uptime_s,rss_bytes,heap_committed,fd_count,query_count,query_max_us
1784994423,1220,15941632,15728640,17,1126,1412696
1784994434,1235,15941632,15728640,17,1140,1412696
1784994444,1245,15941632,15728640,17,1150,1412696
1784994455,1255,15941632,15728640,17,1160,1412696
1784994466,1265,15941632,15728640,17,1168,1412696
1784994477,1275,15941632,15728640,17,1178,1412696
1784994487,1285,15941632,15728640,17,1188,1412696
1784994498,1295,15941632,15728640,17,1196,1412696
1784994509,1310,15941632,15728640,17,1210,1412696
1784994519,1321,15941632,15728640,17,1220,1412696
1784994530,1331,15941632,15728640,17,1230,1412696
1784994542,1341,15941632,15728640,17,1239,1412696
1784994553,1351,15941632,15728640,17,1247,1412696
1784994564,1366,15941632,15728640,17,1261,1412696
1784994574,1376,15941632,15728640,17,1271,1412696
1784994585,1386,15941632,15728640,17,1281,1412696
1784994596,1396,15941632,15728640,17,1289,1412696
1784994607,1406,15941632,15728640,17,1299,1412696
1784994617,1416,15941632,15728640,17,1309,1412696
1784994628,1426,15941632,15728640,17,1317,1412696
1784994639,1441,15941632,15728640,17,1331,1412696
1784994650,1451,15941632,15728640,17,1341,1412696
1784994662,1461,15941632,15728640,17,1350,1412696
1784994673,1471,15941632,15728640,17,1359,1412696
1784994684,1486,15941632,15728640,17,1372,1412696
1784994695,1496,15941632,15728640,17,1382,1412696
1784994705,1506,15941632,15728640,17,1392,1412696
1784994716,1516,15941632,15728640,17,1400,1412696
1784994727,1526,15941632,15728640,17,1410,1412696
1784994738,1536,15941632,15728640,17,1420,1412696
1784994749,1551,15941632,15728640,17,1434,1412696
1784994759,1561,15941632,15728640,17,1442,1412696
1784994770,1571,15941632,15728640,17,1452,1412696
1784994782,1581,15941632,15728640,17,1461,1412696
1784994793,1591,15941632,15728640,17,1469,1412696
1784994804,1606,15941632,15728640,17,1483,1412696
1784994815,1616,15941632,15728640,17,1493,1412696
1784994825,1626,15941632,15728640,17,1503,1412696
1784994836,1636,15941632,15728640,17,1511,1412696
1784994847,1646,15941632,15728640,17,1521,1412696
1784994858,1656,15941632,15728640,17,1531,1412696
1784994869,1671,15941632,15728640,17,1544,1412696
1784994879,1681,15941632,15728640,17,1553,1412696
1784994890,1691,15941632,15728640,17,1563,1412696
1784994902,1701,15941632,15728640,17,1572,1412696
1784994913,1711,15941632,15728640,17,1580,1412696
1784994924,1726,15941632,15728640,17,1594,1412696
1784994935,1736,15941632,15728640,17,1604,1412696
1784994945,1746,15941632,15728640,17,1614,1412696
1784994956,1756,15941632,15728640,17,1622,1412696
1784994967,1766,15941632,15728640,17,1632,1412696
1784994978,1776,15941632,15728640,17,1642,1412696
1784994988,1786,15941632,15728640,17,1650,1412696
1784994999,1801,15941632,15728640,17,1664,1412696
1784995038,1836,15941632,15728640,17,1672,1412696
1784995086,1886,16105472,15728640,17,1672,1412696
